include_index,report_relative_path,role,asset_exists,bytes,sha256,identical_repo_binary
1,figures/redrawn/fig_1_1_clinical_gap.pdf,project_redrawn_diagram_or_appendix_composite,True,25379,2af397dcc7375586b5a3c8bc564a694c5b519669bc837056e74a299b8dfea7b6,
2,figures/redrawn/fig_2_1_task_taxonomy.pdf,project_redrawn_diagram_or_appendix_composite,True,155840,4bbb5675c28891dd0ee5c94a249ca295985a38cb7297ce61d86856b784403810,
3,figures/final/fig_4_1_task_geometry.pdf,project_empirical_or_method_composite,True,360255,30f59ab3aa1aac3e4d70b929b800afe32cb8e6d61112d20447aebc02baa3747e,
4,figures/final/fig_4_2_rbsr_framework.pdf,project_empirical_or_method_composite,True,848335,fbc126aeb28da1a621cc308119fb62a2e1e84ba0953f733a8c30723d3a31c846,
5,figures/redrawn/fig_5_1_evaluation_protocol.pdf,project_redrawn_diagram_or_appendix_composite,True,41292,f7947e47675ffb423ae3553bb5aa392306bf2ae62d289b5a3c7b25d188c9717b,
6,figures/eval_review_v3/eval_02_subunit_matrix_review_v1.pdf,project_empirical_or_method_composite,True,51798,91a6ce39921dc64784194f187383881c1ee11692502feae8b2b18fc50f5de5b5,
7,figures/eval_review_v3/eval_03_spatial_operating_points_review_v1.pdf,project_empirical_or_method_composite,True,230847,107c4d7f39a4741ae315a787791e34d995d1b5f3d7e9b359d366be6f3bc14989,
8,figures/eval_review_v3/eval_06_qualitative_extremes_review_v1.pdf,project_empirical_or_method_composite,True,123072,95bb8b8803e5894d9e8c79add417a85f095e119070b95bbd5447e495e0b04821,
9,figures/eval_review_v3/eval_01_operating_points_review_v1.pdf,project_empirical_or_method_composite,True,38559,2a1d50b029f921b6e14e7db8131a60291153a1c0e0ff0e75a5243dd2b828a872,
10,figures/eval_review_v3/eval_05_noise_robustness_review_v1.pdf,project_empirical_or_method_composite,True,40950,ed692da59f6c4951db3ceeb8ad9156c3fe0af9afa33d94bbc0736dacff65093e,
11,figures/redrawn/fig_a_1_qualitative_all.pdf,project_redrawn_diagram_or_appendix_composite,True,2485999,a3f116e57e233e581a5064b5a18ee392e36a1a09359099d2bd52827e1f23b9c8,
12,figures/redrawn/fig_a_3_subunit_strain.pdf,project_redrawn_diagram_or_appendix_composite,True,21580,854311c64e368ba208b31caf13d34f5b5765cea2929412d1b90882bb9ae367f1,
13,imperial-logo.pdf,template_or_other,True,9980,0fede73944a86c2b4b654233dafe00af73dc277fec9faf9a4180115cc3168450,
14,figures/classic/morphable_3dmm.pdf,external_prior_work_illustration,True,97953,def46f48a39b575502689cb62ef3d911f6dbc40d9cba2b8648eca6caad8a4422,
15,figures/classic/pca_shape_model.pdf,external_prior_work_illustration,True,993261,edcf8dd0cb71bb290e0fc2effc8bfc4b4b9072bdc730ad737114b959c74abcc0,
16,figures/classic/flame_model.png,external_prior_work_illustration,True,628122,f759975ccf82ae1260c7cb8ae4b22e293377fed5de5831b3e2fb57edf4dd5bb7,tmp/pdfs/active_figures/fig_21.png
17,figures/classic/flame_model_joints.png,external_prior_work_illustration,True,255932,2ce058da710690918c59e4098384dc0f59084f9a7b15882716813cc2d3fe8506,tmp/pdfs/active_figures/fig_22.png
18,figures/classic/facescape.pdf,external_prior_work_illustration,True,484305,51d6a078960c835c906b57cae8f583226446441c3445522433ab2aa040978014,
19,figures/classic/laplacian_editing.pdf,external_prior_work_illustration,True,2265297,72ff917496b3fd347a0104db3865ad4c577aa877cbf4d52e30ce9a6df5a49597,
20,figures/classic/bilaplacian.pdf,external_prior_work_illustration,True,367567,78346a956c90396359c6f280ca9ed544776f0942804c967793389c77c67bf41c,
21,figures/classic/arap_deformation.pdf,external_prior_work_illustration,True,307803,f1b9250840c1bc15cebf6b7bb35ff003e5fb719c43f920aae4e93406387d2276,
22,figures/classic/cvae_architecture.pdf,external_prior_work_illustration,True,288715,68ae0add1fd5a162c81860e4919860f5bc31f0ad2634b27e01c4ae91995be288,
23,figures/chapter3_review_v2/fig_3_1_studio_modes_final.pdf,project_system_design_diagram,True,396647,8030d127deb35b9897797543b79e4640ba0c7fc5fb2b5a8d4b0cb9a11bb484f8,
24,figures/chapter3_review_v2/fig_3_2_software_communication_sequence_final.pdf,project_system_design_diagram,True,25884,3f2d005400cb68495360b0d811d2d40849eac0b4e06e1424a7fb81c5b72afdce,
25,figures/chapter3_review_v2/fig_3_3_software_architecture_final.pdf,project_system_design_diagram,True,22539,f809a5948697416b6f3631a3900bd93ad0a55d353efee80c3378ff543acc41bf,
26,figures/chapter3_review_v2/fig_3_4_runtime_state_machine_final.pdf,project_system_design_diagram,True,17605,5a91a5807f3b7bc912dab34c9bd30a32e52dca981bb48630455107fd4247015e,
27,figures/final/fig_4_3_learning_architecture.pdf,project_empirical_or_method_composite,True,76541,9c543aa9b8388e97e61ac87878dedc0061403ad38859f1db4a3eab681bba1143,
28,figures/final/fig_4_4_stage1_anchor_evidence.pdf,project_empirical_or_method_composite,True,35055,4b2a1d792a373ae2aaaf27d7838aa1a2a5de7a0bebc8c56d2ba51d73ec35911b,
